Epoch, Loss, Dice Score, Dice Loss, CE Loss, SkelRec Loss, Time
318, -0.5453, 0.8407, 0.1593, 0.1142, -0.8188, 572.52
319, -0.5438, 0.8402, 0.1598, 0.1147, -0.8182, 573.26
320, -0.5428, 0.8400, 0.1600, 0.1154, -0.8182, 573.41
321, -0.5453, 0.8406, 0.1594, 0.1141, -0.8188, 572.83
322, -0.5425, 0.8402, 0.1598, 0.1161, -0.8184, 574.43
323, -0.5425, 0.8398, 0.1602, 0.1153, -0.8179, 573.49
324, -0.5463, 0.8408, 0.1592, 0.1136, -0.8191, 572.87
325, -0.5438, 0.8404, 0.1596, 0.1151, -0.8185, 571.39
326, -0.5451, 0.8407, 0.1593, 0.1145, -0.8189, 574.09
327, -0.5462, 0.8410, 0.1590, 0.1139, -0.8190, 573.30
328, -0.5466, 0.8413, 0.1587, 0.1140, -0.8192, 574.07
329, -0.5450, 0.8408, 0.1592, 0.1145, -0.8187, 573.62
330, -0.5476, 0.8415, 0.1585, 0.1132, -0.8193, 574.20
331, -0.5487, 0.8416, 0.1584, 0.1129, -0.8199, 573.70
332, -0.5428, 0.8401, 0.1599, 0.1157, -0.8185, 573.12
333, -0.5468, 0.8412, 0.1588, 0.1136, -0.8193, 572.74
334, -0.5484, 0.8418, 0.1582, 0.1130, -0.8195, 574.41
335, -0.5480, 0.8415, 0.1585, 0.1129, -0.8194, 573.87
336, -0.5468, 0.8414, 0.1586, 0.1137, -0.8191, 573.57
337, -0.5477, 0.8415, 0.1585, 0.1133, -0.8196, 573.26
338, -0.5507, 0.8425, 0.1575, 0.1119, -0.8202, 574.34
339, -0.5485, 0.8419, 0.1581, 0.1132, -0.8198, 572.72
340, -0.5488, 0.8421, 0.1579, 0.1128, -0.8196, 576.37
341, -0.5490, 0.8418, 0.1582, 0.1128, -0.8200, 594.69
342, -0.5498, 0.8424, 0.1576, 0.1125, -0.8199, 588.57
343, -0.5479, 0.8419, 0.1581, 0.1138, -0.8198, 592.76
344, -0.5499, 0.8424, 0.1576, 0.1124, -0.8198, 585.90
345, -0.5469, 0.8414, 0.1586, 0.1139, -0.8194, 584.25
346, -0.5510, 0.8427, 0.1573, 0.1121, -0.8204, 594.11
347, -0.5501, 0.8424, 0.1576, 0.1125, -0.8202, 590.12
348, -0.5503, 0.8425, 0.1575, 0.1122, -0.8201, 591.71
349, -0.5529, 0.8432, 0.1568, 0.1111, -0.8207, 594.76
350, -0.5499, 0.8427, 0.1573, 0.1131, -0.8203, 593.33
351, -0.5513, 0.8430, 0.1570, 0.1121, -0.8204, 583.42
352, -0.5520, 0.8431, 0.1569, 0.1117, -0.8206, 597.52
353, -0.5509, 0.8428, 0.1572, 0.1122, -0.8203, 585.60
354, -0.5506, 0.8426, 0.1574, 0.1121, -0.8201, 600.46
355, -0.5524, 0.8433, 0.1567, 0.1115, -0.8207, 585.13
356, -0.5515, 0.8429, 0.1571, 0.1119, -0.8205, 599.71
