Epoch, Loss, Dice Score, Dice Loss, CE Loss, Time
255, 0.2719, 0.8353, 0.1647, 0.1072, 286.10
256, 0.2714, 0.8356, 0.1644, 0.1070, 286.59
257, 0.2723, 0.8351, 0.1649, 0.1074, 287.21
258, 0.2722, 0.8350, 0.1650, 0.1072, 286.40
259, 0.2704, 0.8363, 0.1637, 0.1067, 287.27
260, 0.2731, 0.8348, 0.1652, 0.1078, 286.18
261, 0.2727, 0.8356, 0.1644, 0.1083, 286.56
262, 0.2714, 0.8358, 0.1642, 0.1072, 286.00
263, 0.2680, 0.8369, 0.1631, 0.1049, 286.01
264, 0.2688, 0.8366, 0.1634, 0.1054, 287.17
265, 0.2687, 0.8370, 0.1630, 0.1057, 286.76
266, 0.2690, 0.8367, 0.1633, 0.1057, 287.14
267, 0.2711, 0.8359, 0.1641, 0.1070, 286.19
268, 0.2676, 0.8375, 0.1625, 0.1051, 286.14
269, 0.2677, 0.8375, 0.1625, 0.1052, 286.54
270, 0.2671, 0.8376, 0.1624, 0.1047, 286.35
271, 0.2673, 0.8374, 0.1626, 0.1048, 286.20
272, 0.2668, 0.8380, 0.1620, 0.1048, 286.68
273, 0.2709, 0.8367, 0.1633, 0.1076, 285.66
274, 0.2665, 0.8380, 0.1620, 0.1045, 287.15
275, 0.2658, 0.8382, 0.1618, 0.1040, 287.39
276, 0.2678, 0.8375, 0.1625, 0.1053, 287.70
277, 0.2665, 0.8382, 0.1618, 0.1047, 286.67
278, 0.2669, 0.8377, 0.1623, 0.1046, 286.55
279, 0.2665, 0.8383, 0.1617, 0.1048, 286.76
280, 0.2655, 0.8386, 0.1614, 0.1041, 288.10
281, 0.2649, 0.8389, 0.1611, 0.1038, 287.01
282, 0.2662, 0.8384, 0.1616, 0.1046, 287.80
283, 0.2669, 0.8379, 0.1621, 0.1049, 286.51
284, 0.2643, 0.8391, 0.1609, 0.1033, 287.60
285, 0.2644, 0.8390, 0.1610, 0.1034, 285.97
286, 0.2680, 0.8384, 0.1616, 0.1064, 286.77
287, 0.2637, 0.8397, 0.1603, 0.1033, 286.59
288, 0.2651, 0.8388, 0.1612, 0.1039, 285.96
289, 0.2637, 0.8395, 0.1605, 0.1031, 262.12
290, 0.2657, 0.8385, 0.1615, 0.1042, 253.67
291, 0.2648, 0.8389, 0.1611, 0.1037, 253.46
292, 0.2643, 0.8391, 0.1609, 0.1034, 253.39
293, 0.2638, 0.8393, 0.1607, 0.1031, 253.39
294, 0.2638, 0.8395, 0.1605, 0.1033, 253.46
295, 0.2644, 0.8392, 0.1608, 0.1036, 253.71
296, 0.2637, 0.8395, 0.1605, 0.1032, 253.81
297, 0.2652, 0.8389, 0.1611, 0.1040, 253.29
298, 0.2620, 0.8403, 0.1597, 0.1022, 253.51
299, 0.2632, 0.8399, 0.1601, 0.1031, 253.64
300, 0.2619, 0.8404, 0.1596, 0.1023, 253.70
301, 0.2619, 0.8403, 0.1597, 0.1023, 253.55
302, 0.2616, 0.8405, 0.1595, 0.1021, 253.32
303, 0.2618, 0.8407, 0.1593, 0.1025, 253.59
304, 0.2613, 0.8408, 0.1592, 0.1020, 253.23
305, 0.2618, 0.8408, 0.1592, 0.1026, 253.49
306, 0.2614, 0.8407, 0.1593, 0.1021, 256.14
307, 0.2602, 0.8414, 0.1586, 0.1016, 292.98
308, 0.2614, 0.8410, 0.1590, 0.1025, 292.83
309, 0.2612, 0.8408, 0.1592, 0.1020, 292.90
310, 0.2610, 0.8412, 0.1588, 0.1022, 293.06
311, 0.2619, 0.8408, 0.1592, 0.1027, 293.23
312, 0.2609, 0.8412, 0.1588, 0.1021, 293.00
313, 0.2605, 0.8413, 0.1587, 0.1018, 284.25
314, 0.2605, 0.8416, 0.1584, 0.1021, 292.86
315, 0.2591, 0.8419, 0.1581, 0.1010, 293.30
316, 0.2587, 0.8421, 0.1579, 0.1007, 292.99
317, 0.2587, 0.8419, 0.1581, 0.1006, 293.17
318, 0.2587, 0.8423, 0.1577, 0.1010, 292.74
319, 0.2612, 0.8412, 0.1588, 0.1024, 287.84
320, 0.2593, 0.8418, 0.1582, 0.1011, 289.05
321, 0.2584, 0.8422, 0.1578, 0.1006, 292.76
322, 0.2581, 0.8425, 0.1575, 0.1006, 293.19
323, 0.2606, 0.8415, 0.1585, 0.1022, 293.21
324, 0.2590, 0.8422, 0.1578, 0.1012, 293.08
325, 0.2573, 0.8430, 0.1570, 0.1003, 293.23
326, 0.2586, 0.8423, 0.1577, 0.1008, 287.57
327, 0.2591, 0.8424, 0.1576, 0.1014, 293.01
328, 0.2573, 0.8429, 0.1571, 0.1003, 292.76
329, 0.2585, 0.8427, 0.1573, 0.1012, 292.77
330, 0.2558, 0.8435, 0.1565, 0.0993, 293.10
331, 0.2589, 0.8422, 0.1578, 0.1011, 292.87
332, 0.2580, 0.8426, 0.1574, 0.1006, 289.02
333, 0.2569, 0.8431, 0.1569, 0.1000, 288.44
334, 0.2564, 0.8433, 0.1567, 0.0997, 292.71
335, 0.2573, 0.8430, 0.1570, 0.1003, 292.96
336, 0.2565, 0.8433, 0.1567, 0.0998, 293.03
337, 0.2569, 0.8435, 0.1565, 0.1004, 290.94
338, 0.2570, 0.8432, 0.1568, 0.1002, 253.63
339, 0.2547, 0.8440, 0.1560, 0.0987, 253.99
340, 0.2548, 0.8441, 0.1559, 0.0989, 253.90
341, 0.2562, 0.8435, 0.1565, 0.0997, 253.64
342, 0.2558, 0.8436, 0.1564, 0.0994, 253.77
343, 0.2567, 0.8433, 0.1567, 0.1000, 253.56
344, 0.2550, 0.8442, 0.1558, 0.0992, 253.92
345, 0.2551, 0.8440, 0.1560, 0.0991, 253.39
346, 0.2550, 0.8440, 0.1560, 0.0990, 253.67
347, 0.2548, 0.8441, 0.1559, 0.0989, 253.66
348, 0.2544, 0.8445, 0.1555, 0.0988, 253.50
349, 0.2557, 0.8440, 0.1560, 0.0997, 253.33
350, 0.2540, 0.8447, 0.1553, 0.0987, 253.41
351, 0.2542, 0.8446, 0.1554, 0.0988, 253.44
352, 0.2527, 0.8451, 0.1549, 0.0978, 253.67
353, 0.2545, 0.8445, 0.1555, 0.0989, 253.75
354, 0.2529, 0.8452, 0.1548, 0.0982, 253.54
355, 0.2531, 0.8452, 0.1548, 0.0982, 253.80
356, 0.2536, 0.8449, 0.1551, 0.0985, 253.79
357, 0.2525, 0.8452, 0.1548, 0.0977, 253.57
358, 0.2535, 0.8451, 0.1549, 0.0986, 253.36
359, 0.2537, 0.8446, 0.1554, 0.0983, 253.59
360, 0.2544, 0.8444, 0.1556, 0.0987, 253.66
361, 0.2525, 0.8455, 0.1545, 0.0980, 253.12
362, 0.2523, 0.8454, 0.1546, 0.0977, 253.20
363, 0.2524, 0.8453, 0.1547, 0.0977, 253.69
364, 0.2532, 0.8452, 0.1548, 0.0984, 253.20
365, 0.2531, 0.8453, 0.1547, 0.0984, 253.46
366, 0.2512, 0.8460, 0.1540, 0.0972, 253.66
367, 0.2519, 0.8457, 0.1543, 0.0976, 253.42
368, 0.2513, 0.8459, 0.1541, 0.0972, 253.41
369, 0.2519, 0.8459, 0.1541, 0.0978, 253.36
370, 0.2511, 0.8461, 0.1539, 0.0972, 253.50
371, 0.2511, 0.8462, 0.1538, 0.0973, 253.39
372, 0.2527, 0.8453, 0.1547, 0.0980, 252.61
373, 0.2519, 0.8456, 0.1544, 0.0975, 253.53
374, 0.2501, 0.8466, 0.1534, 0.0967, 253.06
375, 0.2500, 0.8467, 0.1533, 0.0967, 253.56
376, 0.2507, 0.8463, 0.1537, 0.0970, 252.94
377, 0.2509, 0.8463, 0.1537, 0.0972, 253.53
378, 0.2504, 0.8465, 0.1535, 0.0969, 266.94
379, 0.2505, 0.8462, 0.1538, 0.0966, 264.09
380, 0.2513, 0.8462, 0.1538, 0.0975, 287.63
381, 0.2500, 0.8466, 0.1534, 0.0965, 286.08
382, 0.2491, 0.8470, 0.1530, 0.0962, 287.38
383, 0.2494, 0.8470, 0.1530, 0.0965, 287.69
384, 0.2507, 0.8464, 0.1536, 0.0971, 286.87
